SchoolName,Religion,Level,YearTerm,Total
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,คริสต์,P1,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,คริสต์,P2,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,คริสต์,P3,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,คริสต์,P4,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,คริสต์,P5,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,คริสต์,P6,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,คริสต์,M2,2565/1,4
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,คริสต์,M3,2565/1,1
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,คริสต์,M4,2565/1,3
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,คริสต์,M5,2565/1,4
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,คริสต์,M6,2565/1,1
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,พุทธ,P1,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,พุทธ,P2,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,พุทธ,P3,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,พุทธ,P4,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,พุทธ,P5,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,พุทธ,P6,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,พุทธ,M2,2565/1,462
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,พุทธ,M3,2565/1,558
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,พุทธ,M4,2565/1,397
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,พุทธ,M5,2565/1,388
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,พุทธ,M6,2565/1,386
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อิสลาม,P1,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อิสลาม,P2,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อิสลาม,P3,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อิสลาม,P4,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อิสลาม,P5,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อิสลาม,P6,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อิสลาม,M2,2565/1,4
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อิสลาม,M3,2565/1,5
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อิสลาม,M4,2565/1,6
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อิสลาม,M5,2565/1,3
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อิสลาม,M6,2565/1,7
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อื่นๆ,P1,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อื่นๆ,P2,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อื่นๆ,P3,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อื่นๆ,P4,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อื่นๆ,P5,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อื่นๆ,P6,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อื่นๆ,M2,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อื่นๆ,M3,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อื่นๆ,M4,2565/1,0
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อื่นๆ,M5,2565/1,1
โรงเรียนคณะราษฎร์บำรุงปทุมธานี,อื่นๆ,M6,2565/1,1
